street	direction	cross_street	turn	lane_detail	condition	days	times	location_detail	notes	source_text
Park Street	northbound	Centre Street	right							Park Street, facing northbound traffic at Centre Street.
Park Street	northbound	Tremont Street	right							Park Street at Tremont Street, northbound.
Park Street	southbound	Tremont Street	right							Park Street at Tremont Street southbound.
Parker Street	northbound	Wheeler Road	right							Parker Street, northbound at Wheeler Road.
Pearl Street	eastbound	Centre Street	right							Pearl Street, eastbound at Centre Street.
Perkins Street	northbound	Washington Street	right							Perkins Street, Northbound, at Washington Street.
Stuart Road		Waverley Avenue	right							Stuart Road, at Waverley Avenue.
Tremont Street	westbound	Park Street	right							Tremont Street, westbound at Park Street.
Wachusett Road	northbound	Commonwealth Avenue	right							Wachusett Road, northbound at Commonwealth Avenue.
Walnut Street	northbound	Commonwealth Avenue	right							Walnut Street at Commonwealth Avenue, northbound.
Walnut Street	northbound	Centre Street	right							Walnut Street, northbound, onto Centre Street.
Walnut Street	southbound	Centre Street	right							Walnut Street, southbound at Centre Street.
Walnut Street	northbound,southbound	Washington Street	right							Walnut Street at Washington Street, northbound and southbound.
Waltham Street	southbound	Washington Street	right							Waltham Street at Washington Street, southbound.
Ward Street	northwestbound	Waverley Avenue	right							Ward Street, north-westbound at Waverley Avenue.
Ward Street	northeastbound	Waverley Avenue	right					continuing onto Ward Street		Ward Street, north-eastbound, continuing onto Ward Street at Waverley Avenue.
Washington Street	eastbound	Washington Street	right					continuing onto Washington Street; opposite Elm Street		Washington Street continuing onto Washington Street, eastbound (opposite Elm Street).
Washington Street	eastbound	Harvard Street	right							Washington Street, eastbound, at Harvard Street.
Washington Street	eastbound	Centre Avenue	right					merge in Newton Corner		Washington Street eastbound merge onto Centre Avenue in Newton Corner.
Washington Street	eastbound	St. James Street	right							Washington Street, facing eastbound traffic towards St. James Street.
Washington Street	northbound		right					bridge over turnpike		Washington Street, facing northbound traffic towards bridge over turnpike.
Washington Street	westbound	Bacon Street	right							Washington Street, facing westbound traffic at Bacon Street.
Washington Street	eastbound	Highland Street	right							Washington Street at Highland Street, eastbound.
Washington Street	eastbound	Walnut Street	right		when illuminated					Washington Street at Walnut Street, eastbound (when illuminated).
Washington Street	westbound	Walnut Street	right		when illuminated					Washington Street at Walnut Street, westbound (when illuminated).
Massachusetts Turnpike off-ramp		Washington Street	right	left and center lane				at exit 125		Massachusetts Turnpike off-ramp, onto Washington Street at exit 125, left and center lane.
Washington Street	westbound	Cherry Street	right							Washington Street onto Cherry Street, westbound.
Watertown Street/Albemarle Road/ Brookside Avenue	all		right							Watertown Street/Albemarle Road/ Brookside Avenue, all approaches.
Watertown Street	westbound	Washington Street	right							Watertown Street, westbound at Washington Street.
Watertown Street/Walnut Street	all		right							Watertown Street/Walnut Street, all approaches.
Waverley Avenue	southbound	Stuart Street	right							Waverley Avenue, southbound at Stuart Street.
Wheeler Road	westbound	Parker Street	right							Wheeler Road, westbound at Parker Street.
Winchester Street	southbound	Nahanton Street	right			mon,tue,wed,thu,fri	07:00-09:00,15:00-19:00			Winchester Street, southbound at Nahanton Street, Monday–Friday, 7:00 a.m. – 9:00 a.m. & 3:00 p.m. – 7:00 p.m.
Washington Street	northbound	Massachusetts Turnpike entrance on-ramp	left	far left two lanes				one-way bridge; at exit 127		Washington Street northbound one-way bridge, onto the Massachusetts Turnpike entrance on-ramp at exit 127, far left two lanes.
Washington Street	westbound	Centre Avenue	left					merge in Newton Corner		Washington Street westbound merge onto Centre Avenue in Newton Corner.
