street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Albemarle Road	2	various (see sub-clauses)	east	Watertown Street	Crafts Street		school days; all days; 8:00 a.m. to 4:00 p.m.; 7:00 a.m. to 3:00 p.m.; 8:00 a.m. to 3:00 p.m.	Albemarle Road (2) Restrictions for the easterly roadway, east side, between Watertown Street and Crafts Street are as follows: a) Prohibited, all days, from Watertown Street to a point 60 feet northerly. b) 15-minute limit, 8:00 a.m. to 4:00 p.m., school days, from a point 60 feet north of Watertown Street to a point 185 feet north of Watertown Street. c) Accessible parking only, from a point 185 feet north of Watertown Street to a point 390 feet north of Albemarle Street. d) one-hour limit, 8:00 a.m. to 4:00 p.m., school days, from a point 390 feet north of Watertown Street to a point 530 feet north of Watertown Street. e) Accessible parking only, from a point 530 feet north of Watertown Street to a point 600 feet north of Albemarle Street. f) No restriction, from a point 600 feet north of Watertown Street to a point 1060 feet north of Watertown Street. g) Prohibited, all days, from a point 1060 feet north of Watertown Street to a point 1120 feet north of Watertown Street. h) Prohibited, 7:00 a.m. to 3:00 p.m., school days, from a point 1120 feet north of Watertown Street to a point 1280 feet north of Watertown Street. i) Prohibited, all days, from a point 1280 feet north of Watertown Street to a point 1355 feet north of Watertown Street. j) Accessible parking only, from a point 1355 feet north of Watertown Street to a point 1395 feet north of Albemarle Street. k) 2-hour limit, 8:00 a.m. to 3:00 p.m., July 1 to August 31, from a point 1395 feet north of Watertown Street to a point 1545 feet north of Watertown Street. l) Accessible parking only, from a point 1545 feet north of Watertown Street to a point 1575 feet north of Watertown Street. m) 2-hour limit, 8:00 a.m. to 3:00 p.m., July 1 to August 31, from a point 1575 feet north of Watertown Street to a point 1660 feet north of Watertown Street. n) Prohibited, all days, from a point 1660 feet north of Watertown Street to a point 1710 feet north of Watertown Street. o) No restriction, from a point 1710 feet north of Watertown Street to a point 1830 feet north of Watertown Street. p) Prohibited, all days, from a point 1830 feet north of Watertown Street to a point 1880 feet north of Watertown Street. q) No restriction, from a point 1880 feet north of Watertown Street to a point 2200 feet north of Watertown Street. r) Prohibited, all days, from a point 70 feet south of Crafts Street to Crafts Street.	has lettered sub-clauses
Alden Place	1	parking prohibited	east		entire length		all days	Alden Place (1) Parking prohibited, all days, east side.	
Alderwood Road	1	prohibited	north	various segments			all days	Alderwood Road (1) Prohibited, all days, north side: a) From end to Burrage Road. b) From a point 130 feet west of Burrage Road to Centre Street.	has lettered sub-clauses
Alderwood Road	2	one-hour limit	south		entire length	entire length	7:00 a.m. to 7:00 p.m.	Alderwood Road (2) One-hour limit, 7:00 a.m. to 7:00 p.m., south side, entire length.	
Algonquin Road	1	prohibited	southwest	Commonwealth Avenue	Woodchester Drive		all days	Algonquin Road (1) Prohibited, all days, southwest side from Commonwealth Avenue to Woodchester Drive.	
Algonquin Road	2	prohibited	east	a point 775 feet north of Commonwealth Avenue	a point 450 feet northerly		all days	Algonquin Road (2) Prohibited, all days, east side from a point 775 feet north of Commonwealth Avenue north and northwesterly 450 feet.	
Algonquin Road	3	two-hour limit	northeast	Commonwealth Avenue	Woodchester Road		8:00 a.m. to 6:00 p.m.	Algonquin Road (3) Two-hour limit, 8:00 a.m. to 6:00 p.m., northeast side from Commonwealth Avenue to Woodchester Road.	
Algonquin Road	4	two-hour limit	east	Cushing Street	a point 268 feet west of Centre Street		all days; 7:00 a.m. to 10:00 p.m.	Algonquin Road (4) Two-hour limit, all days, east side, 7:00 a.m. to 10:00 p.m., from Cushing Street to a point 268 feet west of Centre Street.	
Allerton Road	1	prohibited		various segments			all days	Allerton Road (1) Prohibited, all days: a) North side, from Hyde Street to Centre Street. b) South side, from Centre Street to Hereward Road, from Memorial Day to Labor Day.	has lettered sub-clauses
Allerton Road	2	two-hour limit	south	Hyde Street	Centre Street		all days; 7:00 a.m. to 10:00 p.m.	Allerton Road (2) Two-hour limit, all days, south side, 7:00 a.m. to 10:00 p.m., from Hyde Street to Centre Street, except by Resident Permit as listed in TPR-202.	see TPR-202
Allison Street	1	prohibited	both	California Street	a point 50 feet		all days	Allison Street (1) Prohibited, all days, both sides from California Street for 50 feet.	
Allison Street	2	one-hour limit	both	a point 50 feet south of California Street	end		7:00 a.m. to 5:00 p.m.	Allison Street (2) One-hour limit, 7:00 a.m. to 5:00 p.m., both sides, from a point 50 feet south of California Street to the end of the street.	
Allison Street	3	prohibited	both				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Allison Street (3) Prohibited 9:00 a.m. to 1:00 p.m., both sides, second Tuesday of every month.	
Amy Circle	1	prohibited	east	Beacon Street	a point 175 feet northerly			Amy Circle (1) Prohibited, east side, from Beacon Street to a point 175 feet northerly.	
Amy Circle	2	two-hour limit	west	Beacon Street	a point 175 feet north of Beacon Street on the east side		school days; 8:00 a.m. – 4:00 p.m.	Amy Circle (2) Two-hour limit 8:00 a.m. – 4:00 p.m., school days, west side, from Beacon Street, extending around the circle to a point 175 feet north of Beacon Street on the east side.	
Annawan Road	1	prohibited		west side and north side	various		any time	Annawan Road (1) Prohibited, any time, west side, from Waban Avenue to a point 265 feet southerly, continuing on the north side to a point 150 feet westerly.	
Arapahoe Road	1	prohibited	both		entire length	entire length		Arapahoe Road (1) Prohibited, 9:00 a.m. to l0:00 a.m., both sides, entire length.	
Ardmore Road	1	prohibited	both	Prospect Street	Myrtle Street		9:00 a.m. to 11:00 a.m.	Ardmore Road (1) Prohibited, both sides, 9:00 a.m. to 11:00 a.m., from Prospect Street to Myrtle Street.	
Ardmore Terrace	1	prohibited	both	Ardmore Road	end		7:00 a.m. to 9:00 a.m.	Ardmore Terrace (1) Prohibited, both sides, 7:00 a.m. to 9:00 a.m. from Ardmore Road to the end.	
Arlington Street	1	prohibited	both	Marlboro Street	Waverley Avenue		7:00 a.m. to 10:00 a.m.	Arlington Street (1) Prohibited, 7:00 a.m. to 10:00 a.m., from Marlboro Street to Waverley Avenue, both sides.	
Arlington Street	2	prohibited	south	Waverley Avenue	a point 200 feet westerly		7:00 a.m. to 10:00 a.m.	Arlington Street (2) Prohibited, 7:00 a.m. to 10:00 a.m., from Waverley Avenue to a point 200 feet westerly, south side.	
Arlington Street	3	prohibited	south	a point 200 feet west of Waverley Avenue	Park Street		all times	Arlington Street (3) Prohibited, all times, from a point 200 feet west of Waverley Avenue to Park Street, south side.	
Arlington Street	4	prohibited	north	Waverley Avenue	a point 260 feet west of Waverley Avenue		all times	Arlington Street (4) Prohibited, all times, from Waverley Avenue to a point 260 feet west of Waverley Avenue, north side.	
Arlington Street	5	buses only	north	a point 260 feet west of Waverley Avenue	Park Street		7:45 a.m. to 3:30 p.m.	Arlington Street (5) Buses only, 7:45 a.m. to 3:30 p.m., from a point 260 feet west of Waverley Avenue to Park Street, north side.	
Armory Street	1	prohibited	east		entire length	entire length	all days	Armory Street (1) Prohibited, all days, east side, entire length.	
Armory Street	2	prohibited	west	Washington Street	a point 37 feet north of Washington Street		all days	Armory Street (2) Prohibited, all days, west side, from Washington Street to a point 37 feet north of Washington Street.	
Armory Street	3	loading zone	west	a point 37 feet north of Washington Street	a point 21 feet northerly		all days	Armory Street (3) Loading Zone, 15-Minute Limit, all days, all hours, west side, from a point 37 feet north of Washington Street, 21 feet northerly.	
Armory Street	4	prohibited	west	a point 58 feet north of Washington Street	end		all days	Armory Street (4) Prohibited, all days, west side, from a point 58 feet north of Washington Street to end.	
Ash Street	1	prohibited		south and north sides			all days	Ash Street (1) Prohibited, all days. (a) south side, from a point 225 feet west of Melrose Street to Commonwealth Avenue. (b) north side, from Melrose Street to a point 300 feet west of Melrose Street.	has lettered sub-clauses
Ash Street	2	two-hour limit		south and north sides				Ash Street (2) Two-hour limit (a) south side, from Melrose Street to a point 225 feet west of Melrose Street. (b) north side, from a point 300 feet west of Melrose to Commonwealth Avenue.	has lettered sub-clauses
Ashford Avenue	1	prohibited	west	Ward Street	Glendale Road		all days	Ashford Avenue (1) Prohibited, all days, west side, from Ward Street to Glendale Road.	
Ashmont Avenue	1	prohibited	north	Crafts Street	Hawthorn Street		all days	Ashmont Avenue (1) Prohibited, all days, north side, from Crafts Street to Hawthorn Street.	
Aspen Avenue	1	one-hour limit	north	Washington Street	Hawthorne Avenue		all days	Aspen Avenue (1) One-hour limit, all days, all hours, except by Auburndale Permit, north side, Washington Street to Hawthorne Avenue.	except by Auburndale Permit
Aspen Avenue	2	no parking	south	Washington Street	Hawthorne Avenue		all days	Aspen Avenue (2) No parking, all days, all hours, south side, Washington Street to Hawthorne Avenue.	
Atwood Avenue	1	prohibited	south		entire length	entire length	all days	Atwood Avenue (1) Prohibited, all days, south side, entire length.	
Atwood Avenue	2	resident permit only	north				school days; 8:00 a.m. to 4:00 p.m.	Atwood Avenue (2) Parking by Newtonville Resident parking permit only 8:00 a.m. to 4:00 p.m., School Days, north side (three non-resident Newtonville parking permits allowed).	three non-resident Newtonville parking permits allowed
Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection	1	prohibited and 15-minute limit	north	Commonwealth Avenue (eastern intersection)	Rand Terrace		except Saturdays, Sundays, and Holidays; including Saturdays; 7:00 a.m. to 8:00 a.m.; 8:00 a.m. to 9:00 a.m.	Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection (1) Prohibited, 7:00 a.m. to 8:00 a.m. including Saturdays, Sundays and Holidays AND fifteen-minute limit, 8:00 a.m. to 9:00 a.m. except Saturdays, Sundays, and Holidays, Commonwealth Avenue (eastern intersection) to Rand Terrace, north side.	
Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection	2	prohibited	north	a point 140 feet east of Grove Street	the Lexington Street/Auburn Street intersection		all times; all days, all times; all days	Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection (2) Prohibited, all days, all times, from a point 140 feet east of Grove Street to the Lexington Street/Auburn Street intersection, north side.	
Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection	3	prohibited	south	Lexington Street/Auburn Street intersection	Grove Street/Auburn Street intersection		all times; all days, all times; all days	Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection (3) Prohibited, all days, all times, Lexington Street/Auburn Street intersection to the Grove Street/Auburn Street intersection, south side.	
Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection	4	prohibited	south	a point 400 feet west of Commonwealth Avenue (eastern intersection)	Commonwealth Avenue (eastern intersection)		all times; all days, all times; all days	Auburn Street – Washington Street to the Lexington Street/Auburn Street intersection (4) Prohibited, all days, all times, from a point 400 feet west of Commonwealth Avenue (eastern intersection) to Commonwealth Avenue (eastern intersection), south side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	1	prohibited	north	Lexington Street	a point 75 feet west of Lexington Street		all times; all days, all times; all days	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (1) Prohibited, all days, all times, Lexington Street to a point 75 feet west of Lexington Street, north side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	2	one-hour limit	north	a point 75 feet west of Lexington Street	a point 220 feet west of Lexington Street		7:00 a.m. to 7:00 p.m.	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (2) One-hour limit, 7:00 a.m. to 7:00 p.m., from a point 75 feet west of Lexington Street to a point 220 feet west of Lexington Street, north side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	3	accessible parking only	north	a point 220 feet west of Lexington Street	a point 255 feet west of Lexington Street			Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (3) Accessible parking only, from a point 220 feet west of Lexington Street to a point 255 feet west of Lexington Street, north side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	4	one-hour limit	north	a point 225 feet west of Lexington Street	Melrose Street		7:00 a.m. to 7:00 p.m.	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (4) One-hour limit, 7:00 a.m. to 7:00 p.m., from a point 225 feet west of Lexington Street to Melrose Street, north side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	5	prohibited	north	Melrose Street	Woodland Road		all times; all days, all times; all days	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (5) Prohibited, all days, all times, Melrose Street to Woodland Road, north side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	6	prohibited	south	Woodland Road	a point 90 feet east of Woodland Road		all times; all days, all times; all days	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (6) Prohibited, all days, all times, Woodland Road to a point 90 feet east of Woodland Road, south side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	7	parking meter zone	south	a point 90 feet east of Woodland Road	a point 500 feet east of Woodland Road		8:00 a.m. to 6:00 p.m.	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (7) Parking meter zone, no time limit, 8:00 a.m. to 6:00 p.m., from a point 90 feet east of Woodland Road to a point 500 feet east of Woodland Road, south side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	8	prohibited	south	a point 500 feet east of Woodland Road	a point 580 feet east of Woodland Road		all times; all days, all times; all days	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (8) Prohibited, all days, all times, from a point 500 feet east of Woodland Road to a point 580 feet east of Woodland Road, south side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	9	resident permit only	south	a point 580 feet east of Woodland Road	Ash Street		9:00 a.m. to 5:00 p.m.	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (9) Auburndale Business Permit Parking, 9:00 a.m. to 5:00 p.m., from a point 580 feet east of Woodland Road to Ash Street, south side.	Auburndale Business Permit Parking
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	10	prohibited	south	Ash Street	a point opposite Melrose Street		all times; all days, all times; all days	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (10) Prohibited, all days, all times, Ash Street to a point opposite Melrose Street, south side.	
Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road	11	two-hour limit	south	a point opposite Melrose Street	a point 345 feet east of Melrose Street		including Saturdays; 7:00 a.m. to 9:00 p.m.	Auburn Street – Lexington Street/Auburn Street intersection to Woodland Road (11) Two-hour limit, 7:00 a.m. to 9:00 p.m., including Saturdays, from a point opposite Melrose Street to a point 345 feet east of Melrose Street, south side.	
Auburn Street – Woodland Road to Commonwealth Avenue (western intersection)	1	prohibited	north	Woodland Road	Woodbine Terrace		all times; all days, all times; all days	Auburn Street – Woodland Road to Commonwealth Avenue (western intersection) (1) Prohibited, all days, all times, Woodland Road to Woodbine Terrace, north side.	
Auburn Street – Woodland Road to Commonwealth Avenue (western intersection)	2	two-hour limit	north				Monday to Friday; 9:00 a.m. to 5:00 p.m.	Auburn Street – Woodland Road to Commonwealth Avenue (western intersection) (2) Two-hour limit, 9:00 a.m. to 5:00 p.m. Monday to Friday except Holidays or by Auburndale Permit, north side.	except by Auburndale Permit
Auburn Street – Woodland Road to Commonwealth Avenue (western intersection)	3	prohibited	north	Bourne Street	a point 200 feet west of Bourne Street		all times; all days, all times; all days	Auburn Street – Woodland Road to Commonwealth Avenue (western intersection) (3) Prohibited, all days, all times, Bourne Street to a point 200 feet west of Bourne Street, north side.	
Auburn Street – Woodland Road to Commonwealth Avenue (western intersection)	4	prohibited	north	a point 525 feet west of Bourne Street	Commonwealth Avenue (western intersection)		all times; all days, all times; all days	Auburn Street – Woodland Road to Commonwealth Avenue (western intersection) (4) Prohibited, all days, all times, from a point 525 feet west of Bourne Street to Commonwealth Avenue (western intersection), north side.	
Auburn Street – Woodland Road to Commonwealth Avenue (western intersection)	5	prohibited	south	Commonwealth Avenue (western intersection)	Woodland Road		all times; all days, all times; all days	Auburn Street – Woodland Road to Commonwealth Avenue (western intersection) (5) Prohibited, all days, all times, Commonwealth Avenue (western intersection) to Woodland Road, south side.	
Austin Street	1	prohibited		various segments			all days	Austin Street (1) Prohibited, all days: a) North side from Walnut Street to a point 40 feet westerly. b) North side from a point 140 feet west of Walnut Street to Lowell Avenue. c) South side from Walnut Street to a point 30 feet westerly. d) South side from a point 325 feet west of Walnut Street to Lowell Avenue. e) Both sides, from Lowell Avenue to Elmwood Park. f) South side, from Elmwood Park to Mt. Vernon Street. g) North side, from a point 100 feet west of Greenwood Avenue easterly for a distance of 234 feet.	has lettered sub-clauses
Austin Street	2	prohibited	south	Chestnut Street	Hillside Avenue		all days; 8:00 a.m. to 6:00 p.m.	Austin Street (2) Prohibited, all days, 8:00 a.m. to 6:00 p.m., south side from Chestnut Street to Hillside Avenue.	
Austin Street	3	parking meter zones	north and south	various segments			Saturdays included; 8:00 a.m. to 6:00 p.m.	Austin Street (3) Parking meter zones, one-hour limit, 8:00 a.m. to 6:00 p.m., Saturdays included: a) North side from a point 40 feet west of Walnut Street 100 feet westerly. b) South side from a point 30 feet west of Walnut Street to a point 325 feet west of Walnut Street.	has lettered sub-clauses
Austin Street	4	two-hour limit	north	Elmwood Park	Mt Vernon Street		7:00 a.m. to 4:00 p.m.	Austin Street (4) Two-hour limit, 7:00 a.m. to 4:00 p.m., north side, from Elmwood Park to Mt Vernon Street.	
Bacon Street	1	prohibited		east and west sides		entire length	all days	Bacon Street (1) Prohibited, all days: a) East side, entire length. b) West side, from a point 120 feet north of Washington Street, northerly to Pearl Street.	has lettered sub-clauses
Bacon Street	2	one-hour limit	west	a point 40 feet north of Washington Street	a point 80 feet northerly		7:00 a.m. to 7:00 p.m.	Bacon Street (2) One-hour limit, 7:00 a.m. to 7:00 p.m., west side, from a point 40 feet north of Washington Street, northerly 80 feet.	
Baldwin Street	1	prohibited		various segments		entire length		Baldwin Street (1) Prohibited: a) West side, entire length. b) East side, from Vernon street northerly 70 feet. c) East side, from a point 110 feet north of Vernon Street to Elmwood Street.	has lettered sub-clauses
Baldwin Street	2	resident permit only	east	a point 70 feet north of Vernon Street	a point 40 feet northerly		school days; 7:00 a.m. to 4:00 p.m.	Baldwin Street (2) Underwood Staff Permit Parking, 7:00 a.m. to 4:00 p.m., school days, east side, from a point 70 feet north of Vernon Street, northerly 40 feet.	Underwood Staff Permit Parking
Ballard Street	1	prohibited	east	Ward Street	a point 140 feet northerly		all days	Ballard Street (1) Prohibited, all days, east side, from Ward Street northerly 140 feet.	
Barnes Road	1	two-hour limit	both		entire length	entire length	7:00 a.m. to 6:00 p.m.	Barnes Road (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides entire length.	
Barnes Road	2	two-hour limit	west				7:00 a.m. to 8:00 p.m.	Barnes Road (2) Two-hour limit, 7:00 a.m. to 8:00 p.m., west side.	
Beach Street	1	prohibited	west	Washington Street	Court Street		all days	Beach Street (1) Prohibited, all days, west side, from Washington Street to Court Street.	
Beacon Street between the Boston City Line and Hammond Street	1	prohibited and exceptions		either side			including Saturdays; any time; 8:00 a.m. to 6:00 p.m.; 7:00 a.m. to 6:00 p.m.	Beacon Street between the Boston City Line and Hammond Street (1) Prohibited, any time, either side, except for the following: a) Parking meter zone, 3-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 120' west of Lawrence Avenue to a point 42' west of Lawrence Avenue, south side. b) Parking meter zone, 3-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 52' east of Lawrence Avenue to a point 10' west of Stone Avenue, south side. c) Parking meter zone, 3-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 12' west of City Line to a point 23' west of City Line, north side. d) Parking meter zone, 3-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 66' west of the City Line to a point 190' west of the City Line, north side. e) Live parking, 7:00 a.m. to 6:00 p.m., from a point 266' west of the City Line to a point 355' west of the City Line, north side. f) Parking meter zone, 3-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 455' west of the City Line to a point 835' west of the City Line, north side.	has lettered sub-clauses
Beacon Street between Hammond Street and Grant Avenue	1	prohibited and exceptions		either side			any time; 8:00 a.m. to 6:00 p.m.	Beacon Street between Hammond Street and Grant Avenue (1) Prohibited, any time, either side, except for the following: a) Two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 260' west of Hammond Pond Parkway crosswalk to a point 120' west of Cousens Circle, south side. b) Two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 195' west of Bishopsgate Road to Grant Avenue, north side.	has lettered sub-clauses
